CARN,COUNTY          ,CAERNARFONSHIRE                                                         ,      1001,Required by CARLOS      ,2002-01-29
AVON,COUNTY          ,AVON                                                                    ,      1001,                        ,1995-05-10
BDF ,COUNTY          ,BEDFORDSHIRE                                                            ,      1001,                        ,1995-05-10
BRK ,COUNTY          ,BERKSHIRE                                                               ,      1001,                        ,1995-05-10
BKM ,COUNTY          ,BUCKINGHAMSHIRE                                                         ,      1001,                        ,1995-05-10
CAM ,COUNTY          ,CAMBRIDGESHIRE                                                          ,      1001,                        ,1995-05-10
CARL,COUNTY          ,CARLOW                                                                  ,      1001,                        ,1995-05-10
CAV ,COUNTY          ,CAVAN                                                                   ,      1001,                        ,1995-05-10
CHS ,COUNTY          ,CHESHIRE                                                                ,      1001,                        ,1995-05-10
CLAR,COUNTY          ,CLARE                                                                   ,      1001,                        ,1995-05-10
CLEV,COUNTY          ,CLEVELAND                                                               ,      1001,                        ,1995-05-10
CLWD,COUNTY          ,CLWYD                                                                   ,      1001,                        ,1995-05-10
CORK,COUNTY          ,CORK                                                                    ,      1001,                        ,1995-05-10
COR ,COUNTY          ,CORNWALL                                                                ,      1001,                        ,1995-05-10
CUM ,COUNTY          ,CUMBRIA                                                                 ,      1001,                        ,1995-05-10
DBY ,COUNTY          ,DERBYSHIRE                                                              ,      1001,                        ,1995-05-10
DEV ,COUNTY          ,DEVON                                                                   ,      1001,                        ,1995-05-10
DNGL,COUNTY          ,DONEGAL                                                                 ,      1001,                        ,1995-05-10
DOR ,COUNTY          ,DORSET                                                                  ,      1001,                        ,1995-05-10
DOWN,COUNTY          ,DOWN                                                                    ,      1001,                        ,1995-05-10
DUB ,COUNTY          ,DUBLIN                                                                  ,      1001,                        ,1995-05-10
DUR ,COUNTY          ,DURHAM                                                                  ,      1001,                        ,1995-05-10
DYFD,COUNTY          ,DYFED                                                                   ,      1001,                        ,1995-05-10
SSXE,COUNTY          ,EAST SUSSEX                                                             ,      1001,                        ,1995-05-10
ESS ,COUNTY          ,ESSEX                                                                   ,      1001,                        ,1995-05-10
FERM,COUNTY          ,FERMANAGH                                                               ,      1001,                        ,1995-05-10
GLWY,COUNTY          ,GALWAY                                                                  ,      1001,                        ,1995-05-10
GLS ,COUNTY          ,GLOUCESTERSHIRE                                                         ,      1001,                        ,1995-05-10
GLN ,COUNTY          ,GREATER LONDON                                                          ,      1001,                        ,1995-05-10
GMR ,COUNTY          ,GREATER MANCHESTER                                                      ,      1001,                        ,1995-05-10
GWNT,COUNTY          ,GWENT                                                                   ,      1001,                        ,1995-05-10
GWND,COUNTY          ,GWYNEDD                                                                 ,      1001,                        ,1995-05-10
HAM ,COUNTY          ,HAMPSHIRE                                                               ,      1001,                        ,1995-05-10
H&W ,COUNTY          ,HEREFORD & WORCESTER                                                    ,      1001,                        ,1995-05-10
HRT ,COUNTY          ,HERTFORDSHIRE                                                           ,      1001,                        ,1995-05-10
HUM ,COUNTY          ,HUMBERSIDE                                                              ,      1001,                        ,1995-05-10
IOW ,COUNTY          ,ISLE OF WIGHT                                                           ,      1001,                        ,1995-05-10
KEN ,COUNTY          ,KENT                                                                    ,      1001,                        ,1995-05-10
KRRY,COUNTY          ,KERRY                                                                   ,      1001,                        ,1995-05-10
KLDR,COUNTY          ,KILDARE                                                                 ,      1001,                        ,1995-05-10
KILK,COUNTY          ,KILKENNY                                                                ,      1001,                        ,1995-05-10
LAN ,COUNTY          ,LANCASHIRE                                                              ,      1001,                        ,1995-05-10
LAOI,COUNTY          ,LAOIS                                                                   ,      1001,                        ,1995-05-10
LEI ,COUNTY          ,LEICESTERSHIRE                                                          ,      1001,                        ,1995-05-10
LEIT,COUNTY          ,LEITRIM                                                                 ,      1001,                        ,1995-05-10
LIMK,COUNTY          ,LIMERICK                                                                ,      1001,                        ,1995-05-10
LIN ,COUNTY          ,LINCOLNSHIRE                                                            ,      1001,                        ,1995-05-10
LDRY,COUNTY          ,LONDONDERRY                                                             ,      1001,                        ,1995-05-10
LNGF,COUNTY          ,LONGFORD                                                                ,      1001,                        ,1995-05-10
LOUT,COUNTY          ,LOUTH                                                                   ,      1001,                        ,1995-05-10
MAYO,COUNTY          ,MAYO                                                                    ,      1001,                        ,1995-05-10
MTH ,COUNTY          ,MEATH                                                                   ,      1001,                        ,1995-05-10
MSY ,COUNTY          ,MERSEYSIDE                                                              ,      1001,                        ,1995-05-10
MGLA,COUNTY          ,MID GLAMORGAN                                                           ,      1001,                        ,1995-05-10
MNGN,COUNTY          ,MONAGHAN                                                                ,      1001,                        ,1995-05-10
NFK ,COUNTY          ,NORFOLK                                                                 ,      1001,                        ,1995-05-10
NYKS,COUNTY          ,NORTH YORKSHIRE                                                         ,      1001,                        ,1995-05-10
NTH ,COUNTY          ,NORTHAMPTONSHIRE                                                        ,      1001,                        ,1995-05-10
NBL ,COUNTY          ,NORTHUMBERLAND                                                          ,      1001,                        ,1995-05-10
NTT ,COUNTY          ,NOTTINGHAMSHIRE                                                         ,      1001,                        ,1995-05-10
OFLY,COUNTY          ,OFFALY                                                                  ,      1001,                        ,1995-05-10
OXF ,COUNTY          ,OXFORDSHIRE                                                             ,      1001,                        ,1995-05-10
POWY,COUNTY          ,POWYS                                                                   ,      1001,                        ,1995-05-10
RSCM,COUNTY          ,ROSCOMMON                                                               ,      1001,                        ,1995-05-10
SAL ,COUNTY          ,SHROPSHIRE                                                              ,      1001,                        ,1995-05-10
SLGO,COUNTY          ,SLIGO                                                                   ,      1001,                        ,1995-05-10
SOM ,COUNTY          ,SOMERSET                                                                ,      1001,                        ,1995-05-10
SGLA,COUNTY          ,SOUTH GLAMORGAN                                                         ,      1001,                        ,1995-05-10
SYKS,COUNTY          ,SOUTH YORKSHIRE                                                         ,      1001,                        ,1995-05-10
STS ,COUNTY          ,STAFFORDSHIRE                                                           ,      1001,                        ,1995-05-10
SFK ,COUNTY          ,SUFFOLK                                                                 ,      1001,                        ,1995-05-10
SRY ,COUNTY          ,SURREY                                                                  ,      1001,                        ,1995-05-10
ANGS,COUNTY          ,ANGUS                                                                   ,      1001,                        ,1996-09-02
MRYG,COUNTY          ,MORAY (IN GRAMPIAN REGION)                                              ,      1001,                        ,1996-09-02
KINC,COUNTY          ,KINCARDINESHIRE                                                         ,      1001,                        ,1996-09-02
TPRY,COUNTY          ,TIPPERARY                                                               ,      1001,                        ,1995-05-10
T&W ,COUNTY          ,TYNE & WEAR                                                             ,      1001,                        ,1995-05-10
DUMF,COUNTY          ,DUMFRIESSHIRE                                                           ,      1001,                        ,1996-09-02
KIRK,COUNTY          ,KIRKCUDBRIGHTSHIRE                                                      ,      1001,                        ,1996-09-02
WIGT,COUNTY          ,WIGTOWNSHIRE                                                            ,      1001,                        ,1996-09-02
ARGS,COUNTY          ,ARGYLL (IN STRATHCLYDE REGION)                                          ,      1001,                        ,1996-09-02
STRS,COUNTY          ,STIRLING (IN STRATHCLYDE REGION)                                        ,      1001,                        ,1996-09-02
AYR ,COUNTY          ,AYRSHIRE                                                                ,      1001,                        ,1996-09-02
LNRK,COUNTY          ,LANARKSHIRE                                                             ,      1001,                        ,1996-09-02
BUTE,COUNTY          ,BUTESHIRE                                                               ,      1001,                        ,1996-09-02
RENF,COUNTY          ,RENFREWSHIRE                                                            ,      1001,                        ,1996-09-02
DUNB,COUNTY          ,DUNBARTONSHIRE                                                          ,      1001,                        ,1996-09-02
WLOC,COUNTY          ,WEST LOTHIAN (IN CENTRAL REGION)                                        ,      1001,                        ,1996-09-02
STRC,COUNTY          ,STIRLING (IN CENTRAL REGION)                                            ,      1001,                        ,1996-09-02
PTHC,COUNTY          ,PERTHSHIRE (IN CENTRAL REGION)                                          ,      1001,                        ,1996-09-02
CLAC,COUNTY          ,CLACKMANNANSHIRE                                                        ,      1001,                        ,1996-09-02
MLOB,COUNTY          ,MIDLOTHIAN (IN BORDERS REGION)                                          ,      1001,                        ,1996-09-02
ROXB,COUNTY          ,ROXBURGHSHIRE                                                           ,      1001,                        ,1996-09-02
SKRK,COUNTY          ,SELKIRKSHIRE                                                            ,      1001,                        ,1996-09-02
PEEB,COUNTY          ,PEEBLESHIRE                                                             ,      1001,                        ,1996-09-02
BRWK,COUNTY          ,BERWICKSHIRE                                                            ,      1001,                        ,1996-09-02
WLOT,COUNTY          ,WEST LOTHIAN (IN LOTHIAN REGION)                                        ,      1001,                        ,1996-09-02
MLOT,COUNTY          ,MIDLOTHIAN (IN LOTHIAN REGION)                                          ,      1001,                        ,1996-09-02
ELOT,COUNTY          ,EAST LOTHIAN                                                            ,      1001,                        ,1996-09-02
PTHT,COUNTY          ,PERTHSHIRE (IN TAYSIDE REGION)                                          ,      1001,                        ,1996-09-02
KNRS,COUNTY          ,KINROSS-SHIRE                                                           ,      1001,                        ,1996-09-02
